tag,category,alias
animal_ears,0,"獣娘,獣耳,けもみみ,ケモミミ,けものみみ,ケモ耳,獸耳,兽耳"
thighhighs,0,"ニーソックス,ニーソ,ニーハイソックス,ニーハイ,サイハイソックス,过膝袜,长筒袜,大腿袜"
closed_mouth,0,"閉口,口を閉じる"
bow,0,"蝶結び,蝶々結び,蝴蝶结"
cleavage,0,"胸の谷間,魅惑の谷間,けしからん谷間,挟まれたい谷間,乳溝,乳沟,가슴골,谷間,cleavage"
hat,0,"帽子,裸帽子"
bare_shoulders,0,"肩出し,ベアトップ,露肩装,露肩"
original,3,"オリジナル,創作,原創,原创,看板娘,看板息子,自キャラ,オリキャラ,オリジナル艦娘,オリ刀剣,창작,oc,创作,うちの子,うちの娘,オリジナルキャラクター,自作キャラ,Оригинальный,Original,original_character,ออริจินอล,オリジナルフレンズ,オリフレ,原画,オリジナルキャラ,一次創作,創作男女,オリロボ,オリジナルウマ娘,オリソニ,オリメカ,オリジナルイラスト,오리지널,オリキャラ愛の会,ウチの子,自キャラクター,indie_anime,うちのこ,originalcharacter,オリギナル,自创,自創,おりじなる,original,OC,創作男子,my_oc,創作百合,自家孩子,original_art,創作キャラ,創作イラスト,originaldesign,原创插画,オリケモ,oc_artwork,oc_art,ocartwork,ocart,oc_tag,ocs,my_ocs"
1boy,0,"男の子,男,少年,男の娘,長髪男子,男子,boy,animeboy"
jewelry,0,"ジュエリー,宝飾品,アクセサリー,珠宝首饰,珠宝"
ribbon,0,"リボン,리본,丝带,絲帶,缎带,紐タイ"
very_long_hair,0,"超ロングヘア,超长发"
medium_breasts,0,"普通乳,普乳"
sitting,0,"座る,座り,椅子尻"
2girls,0,
standing,0,"立つ,立ち絵"
jacket,0,"ジャケット,上着,夹克"
nipples,0,"乳首,nipples,nipple"
twintails,0,"ツインテール,双马尾,雙馬尾,트윈테일,二つ結い,いいツインテールの日,ツインテ,金髪ツインテール,2つくくり"
collarbone,0,"鎖骨,빗장뼈,锁骨"
white_shirt,0,白いシャツ
underwear,0,"下着,肌着,下着艦娘,白下着,胖次"
purple_eyes,0,"紫目,紫眼"
tail,0,"しっぽ,尻尾,もふりたい尻尾,尾巴"
blue_hair,0,"青髪,青い髪,水色髪"
brown_eyes,0,茶目
green_eyes,0,"翠眼,緑眼,緑目"
touhou,3,"東方,東方project,東方プロジェクト,东方,东方project,東方妖時計,동방,東方MMD,東方うごイラ,東方グラマラス,東方ショタ化,東方好きな人RT,東方版もうひとつの深夜の真剣お絵描き60分一本勝負,東方黄金水,東方緊縛画,東方モータリゼーション,東方対魔忍"
full_body,0,"全身,全身絵,全景镜头"
multicolored_hair,0,多色髪
swimsuit,0,"水着,エロ水着,水着艦娘,泳装,수영복,泳衣,水著,剥ぎ取りたい水着"
upper_body,0,"上半身,中近景镜头"
white_hair,0,白髪
panties,0,"パンティー,パンティ,パンツ,ぱんつ,高品質パンツ,お子様パンツ,剥ぎ取りたいパンツ,嫌パン,こどもぱんつ,女児ぱんつ"
grey_hair,0,"白髪,銀髪,銀髪ロング"
pink_hair,0,"ピンク髪,ピンク髪ロング,ピンクは淫乱"
yellow_eyes,0,"黄色眼,黄色目,黄眼,金眼,金目"
school_uniform,0,"学生服,女子高生,JK,DK,学校制服,制服裸足,せいふく,校服"
sidelocks,0,"もみあげ,横髪,サイドヘア,边落,耳前侧发,鬓发"
ahoge,0,"アホ毛,呆毛"
ass,0,"お尻,尻,尻神様,極上の尻,おしり,ねじ込みたい尻,巨尻,顔を埋めたい尻,魅惑の尻,撫で回したい尻,椅子尻,いいおしりの日,かわいいおしり,爆尻,生尻,プリケツ,撫で回したいお尻,けつね,揉みしだきたい尻,原尻"
thighs,0,"太もも,ふともも,魅惑のふともも,魅惑の太もも,ふとももの罠,腿,極上のふともも,極上の太もも,撫で回したい太腿,大腿"
purple_hair,0,紫髪
braid,0,"三つ編み,みつあみ,麻花辫,辫,辫子"
cowboy_shot,0,中景镜头
closed_eyes,0,"瞑目,闭眼"
short_sleeves,0,半袖
hair_ribbon,0,
heart,0,"♥,ハート,ハート形,爱心,红桃,<3"
flower,0,"花,はな,フラワー,꽃,以花咏画,花と女の子"
ponytail,0,"ポニーテール,ポニテ,黒髪ポニーテール,马尾,포니테일"
hetero,0,"NL,男女カプ,イナゴ男女カプ,ヘテロ,男の娘×女の子,異性愛"
pantyhose,0,"タイツ,黒タイツ,黒パンスト,白タイツ,ストッキング,パンスト,パンティストッキング,タイツの日,ストッキングの日,连裤袜,裤袜"
bikini,0,"ビキニ,ビキニ水着,エロビキニ,剥ぎ取りたいビキニ,比基尼,豹柄ビキニ"
small_breasts,0,"貧乳,微乳,ちっぱい,極上の貧乳,ペチャパイ,small_boobs,smallboobs,small_breasts,smallbreasts"
earrings,0,"イヤリング,耳飾り,耳飾"
sweat,0,"汗,汗だく"
outdoors,0,"野外,青姦,野外緊縛,室外,户外"
weapon,0,"武器,兵器"
:d,0,
nude,0,"裸,ヌード,裸ニーソ,裸手袋,裸体,裸靴下,袖だけ霊夢,袖だけ,全裸群像,裸ランドセル,生まれたままの姿(産まれたままの姿)全裸(ヌード),すっぽんぽん,裸帽子,裸立ち絵"
hair_bow,0,
parted_lips,0,
pleated_skirt,0,"プリーツスカート,百褶裙"
frills,0,"フリル,花边"
red_hair,0,"赤髪,紅髪,红发,빨강머리,빨간머리"
censored,0,
open_clothes,0,はだけ
hairband,0,"カチューシャ,ヘアバンド,ヘッドドレス,猫耳カチューシャ,头箍,发箍"
kantai_collection,3,"艦これ,艦隊これくしょん,艦コレ,艦娘,舰队Collection,艦Colle,艦隊Collection,艦隊收藏,kantaicollection,함대_컬렉션,칸코레,私服艦娘,下着艦娘,水着艦娘,艦これ集合絵,シンスイカッコカリ,艦ショタ,艦これ版深夜の真剣お絵描き60分一本勝負,艦これ版真剣お絵描き60分一本勝負,北斗の艦,ア艦これ"
lying,0,"寝そべり,寝そべる,横臥,横になる,寝転がる,うつぶせ,うつ伏せ"
horns,0,"角,角娘,角っ子,有角人,角っ娘"
teeth,0,
black_gloves,0,黒手袋
alternate_costume,0,"衣装チェンジ,私服艦娘"
shorts,0,"半ズボン,短パン,ショートパンツ"
sleeveless,0,"ノースリーブ,アメリカンスリーブ"
choker,0,"チョーカー,颈圈,ちょーかー"
virtual_youtuber,0,"バーチャルユーチューバー,バーチャルYouTuber,Vtuber,Vチューバー,バーチャルシンガー,バーチャルSinger,バーチャルライバー,VLiver,Vライバー,バーチャルストリーマー,VStreamer,虚拟主播,虛擬主播,虚拟YouTuber,虛擬YouTuber,虚拟UP主,虛擬UP主,VUP,香港vtuber,hkvtuber,台灣vtuber,버츄얼유튜버,버츄얼YouTuber,버튜버,버츄버,버츄얼,KRVTuber,KR_VTuber,Vtuber準備中,新人Vtuber,新人Vチューバー,Vtuberはじめました,おはようVtuber,vtb,VTuver,新人Vtuver,VirtualYouTuber,ENVtuber,VtuberID,PHVtuber,VtuberES,VTuberFR,VTubers,vtuberfanart,vtuberart,vtuber_fanart,vSinger,virtualsinger,virtual_singer,pngtuber"
penis,0,"ペニス,陰茎,陰莖,阴茎,男根,男性器,肉棒,魔羅,チンコ,ちんこ,おちんちん,黒チンポ,페니스,음경,남근,남성기,자지,좆,雞巴,鸡巴,dick,(∪)"
detached_sleeves,0,"袖だけ霊夢,袖だけ"
boots,0,"ブーツ,長靴,裸ブーツ"
sky,0,"空,天空"
collared_shirt,0,
wings,0,"翼,羽,翅,ウィング,翅膀,有翼,有翼人"
one_eye_closed,0,"ウィンク,ウィンクX東方"
pointy_ears,0,"エルフ耳,尖耳朵,とんがり耳"
shoes,0,"靴,くつ,鞋子,신발"
food,0,"食べ物,食品,食物"
pussy,0,"おまんこ,女性器,pussy,屄,グロマン,膣,女性生殖器,女阴,まんこ"
necktie,0,"ネクタイ,领带"
indoors,0,"部屋,室内,屋内,インテリア"
barefoot,0,"裸足,素足,裸足裏,制服裸足,裸足男子"
tongue,0,"舌,舌責め"
medium_hair,0,"セミロング,ミディアムヘアー"
black_thighhighs,0,"黒ニーソックス,黒ニーソ,黒ニーハイ,黒ストッキング,黑丝"
solo_focus,0,
green_hair,0,緑髪
artist_name,0,
official_alternate_costume,0,セカコス
monochrome,0,"モノクロ,モノクロ画,单色调"
socks,0,"ソックス,靴下,生靴下,裸靴下"
hand_up,0,
japanese_clothes,0,和服
day,0,"昼間,daytime,昼,ひる"
pants,0,"ズボン,パンツルック"
puffy_sleeves,0,
hairclip,0,髪留め
male_focus,0,"男の子,少年,男性,男子"
black_skirt,0,
fate_(series),3,"Fate,Fateシリーズ"
halo,0,"天使の輪,天使の輪っか,光环,ヘイロー,へいろー"
fang,0,"八重歯,虎牙,犬齿"
belt,0,"ベルト,腰带"
blue_archive,3,"ブルアカ,ブルーアーカイブ,ブルアカイラスト部,ブルーアーカイブイラコン,블루아카이브,블루아카,BlueArchive,蔚藍檔案,碧蓝档案,碧藍檔案,BA,ジョジョアーカイブ,蔚蓝档案"
elbow_gloves,0,"長手袋,ロンググローブ,长手套,白長手袋,肘手套"
stomach,0,"下腹,お腹,おなか,いいおなかの日"
midriff,0,"へそ出し,へそだし,ヘソ出し,腹チラ,腹部,肚子"
glasses,0,"眼鏡,眼鏡っ娘,メガネ,めがね,眼镜,伊達眼鏡,안경,eyeglasses,spectacles,glasses"
white_gloves,0,"白手袋,白手套,白長手袋"
bowtie,0,"蝶ネクタイ,ボウタイ,領結,领结"
blunt_bangs,0,"ぱっつん,パッツン,前髪ぱっつん,齐刘海"
tongue_out,0,舌出し
signature,0,"サイン,サイン入り,签名"
looking_back,0,"見返り,振り返り,振り向き,振り向く,見返り美人,回眸,回头看"
white_dress,0,"白ワンピ,白ワンピース"
sex,0,"セックス,SEX,性交,性行為,キスハメ,中出し,挿入,トイレセックス"
hair_flower,0,"頭に花,花飾り"
comic,0,"漫画,マンガ,漫畫,만화,漫畵"
greyscale,0,白黒
cat_ears,0,"猫耳,ネコミミ,ねこみみ,ネコ耳,ねこ耳,猫耳カチューシャ"
dark_skin,0,"褐色,褐色肌,色黒"
cloud,0,"雲,くも"
serafuku,0,"セーラー服,水手服"
black_footwear,0,
pink_eyes,0,
on_back,0,"仰向け,仰臥"
multiple_boys,0,
spread_legs,0,"開脚,M字開脚,エロ蹲踞,V字開脚,张开双腿"
miniskirt,0,"ミニスカ,ミニスカート,ミニスカ巫女,미니스커트,迷你裙,超短裙,ミニスカポリス"
armpits,0,"腋,脇,魅惑の腋,腋巫女,脇の下,腋下"
off_shoulder,0,オフショルダー
streaked_hair,0,"メッシュ,挑染"
hololive,3,"ホロライブ,ホロライブプロダクション,ホロライブゲーマーズ,ホロライブファンタジー,ホログラ,hololive,hololewd"
twitter_username,0,
grey_background,0,
mole,0,"ほくろ,ホクロ,痣"
hood,0,"頭巾,후드,帽兜,フード"
nail_polish,0,"マニキュア,マニキュア液,指甲油,매니큐어"
sailor_collar,0,"セーラー襟,セーラーカラー,セーラー水着,水手领"
black_dress,0,黒ワンピ
fate/grand_order,3,"FGO,FateGO,FateGrandOrder,Fate/GrandOrder,Fate/Grand_Order,Cosmos_in_the_Lostbelt,Fate/GrandOrder(腐),FGO夢,Fate/GO"
cum,0,"精液,정액,ザーメン"
holding_weapon,0,
wide_sleeves,0,
fingerless_gloves,0,"指抜きグローブ,无指手套"
two-tone_hair,0,"ツートン,ツートーン,二色髪"
genshin_impact,3,"原神,原神project,원신,gnsnプラス,Genshin,Yuanshen,genshinimpactfanart,GenshinImpact,gnsn夢,Genshinfanart,原神同人,gnsn,GenshinImpact5ꓸ0,原尻,genshintwt"
hair_over_one_eye,0,"片目隠れ,片目隠し"
hair_bun,0,"丸子头,お団子,发髻,お団子ヘアー,おだんご"
blurry,0,"ぼかし,ぼやけた,模糊"
from_behind,0,後ろ姿
speech_bubble,0,"ふきだし,말풍선,對話框"
sword,0,"剣,大刀,刀剣,グレートソード,大剣,女剣士,劍,miekka,espada,pedang,Schwert,miecz,меч,svärd,swaard"
rabbit_ears,0,"うさぎ耳,ウサギ耳,うさみみ,うさ耳,兎耳,ウサミミ,ウサ耳"
leotard,0,レオタード
white_thighhighs,0,"白ニーソックス,白ニーソ,白ニーハイ,白ストッキング,白スト,白丝袜"
looking_at_another,0,
necklace,0,ネックレス
idolmaster,3,"アイドルマスター,idolm@ster,theidolm@ster,im@s,アイマス,アイドルマスタ"
open_jacket,0,
clothes_lift,0,たくし上げ
yuri,0,"百合,ユリ,レズ,社会人百合,レズレイプ,創作百合,オリジナル百合,sapphic,にょたゆり,ウマ娘百合ティーダービー,pkmn百合,백합,lesbian,wlw"
huge_breasts,0,"爆乳,폭유,爆乳化,hugeboobs,hugebreasts"
black_jacket,0,
animal_ear_fluff,0,
bra,0,"ブラジャー,ブラ,デカブラ,브래지어,브라,胸罩"
striped_clothes,0,
grin,0,"輝く白い歯,露齿笑"
feet,0,"足,足フェチ"
water,0,"水,물"
orange_hair,0,オレンジ髪
black_pantyhose,0,"黒スト,黒ストッキング,黑丝,黒タイツ"
from_side,0,"たかみよこがお,よこがおフレンズ"
mosaic_censoring,0,马赛克
english_text,0,英語
kimono,0,"👘,着物,和服"
pokemon,3,"ポケモン,ポケモン擬人化,ポケモン人間絵,pkmn腐,ポケ擬,Pokemon,포켓몬,포켓몬스터,ポケモントレーナー版深夜の真剣お絵描き60分一本勝負,ポケモン×人間,ポケットモンスター,ポケモントレーナー,pocketmonsters,精灵宝可梦,ポケモン機械化,ポケモンイラスト,Pokémon,宝可梦,pkg版深夜の真剣お絵描き60分一本勝負,pokemonfanart,pkmn,ポケモンFA,星座タロット風ポケモン,ポケモンと生活,宝可梦图鉴,アニポケ,pkmn夢,pkmn百合"
star_(symbol),0,"星形,星型,星,星星"
red_bow,0,
high_heels,0,"ハイヒール,高跟,高跟鞋"
arm_up,0,
vaginal,0,"膣の,阴道性行为"
crop_top,0,"ハーフトップ,露腹短上衣,短款上衣"
bag,0,"鞄,かばん,カバン"
tears,0,涙
white_panties,0,"白パンツ,白パン,白いパンツ"
completely_nude,0,"生まれたままの姿(産まれたままの姿)全裸(ヌード),すっぽんぽん,裸帽子,全裸,完全裸,髪飾り以外完全裸"
sweatdrop,0,"汗マーク,汗滴"
coat,0,"コート,外套"
blue_sky,0,"青空,蒼空,青い空,蒼天,蒼穹,碧空,蓝天"
3girls,0,
apron,0,"エプロン,えぷろん,围裙"
black_shirt,0,黒シャツ
arms_up,0,脇見せのポーズ
collar,0,"首輪,项圈"
sweater,0,"セーター,스웨터,毛衣,トレーナー,スウェット,スウェットシャツ,スエットシャツ"
dark-skinned_female,0,"褐色娘,褐色ロリ,黒ギャル"
bracelet,0,"ブレスレット,腕輪,手镯"
black_eyes,0,黒目
red_ribbon,0,
parted_bangs,0,"センター分け,真ん中分け,中分刘海"
:o,0,Oの字口
flat_chest,0,"極上の貧乳,ぺったんこ,大平原の小さな胸,無乳,ナイチチ,平らな胸,ツルペタ,つるぺた,平胸,まな板,flat-chested"
fingernails,0,"爪,손톱,指甲"
vest,0,"ベスト,背心"
symbol-shaped_pupils,0,柄目
blue_skirt,0,青いスカート
hands_up,0,
black_choker,0,
cape,0,"ケープ,披风,披風"
armor,0,"鎧,甲冑"
grey_eyes,0,灰色の瞳
strapless,0,ベアトップ
character_name,0,
cup,0,"コップ,カップ,杯子"
toes,0,"足指,足の指"
chibi,0,"ちびキャラ,ちび,デフォルメ,SD,SDイラスト,Q版,Q版造型,ちびきゃら,ミニキャラ,デフォルメエロ,SDキャラ,TDM,チビケモ"
two_side_up,0,ツーサイドアップ
covered_nipples,0,"胸ポチ,勃起乳首,透け乳首,浮き乳首"
scarf,0,"🧣,マフラー,围巾,围脖"
clothing_cutout,0,
orange_eyes,0,"オレンジ目,おれんじめ"
twin_braids,0,
puffy_short_sleeves,0,
side_ponytail,0,"サイドテール,侧马尾"
looking_to_the_side,0,
bar_censor,0,
dated,0,日付
aqua_eyes,0,
multiple_views,0,"三面図,3面図,multiple_angles"
groin,0,"鼠蹊部,またすじ,恥丘,鼠径部"
2boys,0,
see-through_clothes,0,"透け,透け透け,スケスケ,すけすけ,シースルー,濡れ透け,透けブラ,スケブラ,透けスカート"
eyelashes,0,"まつげ,睫毛"
neckerchief,0,ネッカチーフ
thigh_strap,0,"サイバンド,大腿上的带子,腿带"
fake_animal_ears,0,"付け耳,つけ耳,けもみみ(偽)"
legs,0,"足,美脚"
arknights,3,"明日方舟,アークナイツ,명일방주,Arknights,ArknightsFanArt,アークナイツバトルイラコン"
loli,0,"ロリ,ロリビッチ,ロリ妊婦,ペド,ロリフ,合法ロリ,おねロリ,萝莉,LOLI,lolicon,蘿莉,로리,ロリコン,ロリショタ,ケモロリ,ロリ陰毛,メスガキ,褐色ロリ,おにロリ,ロリ巨根,ロリサキュバス,幼女,mesugaki"
mole_under_eye,0,"泣きぼくろ,泣きボクロ,泣き黒子,눈물점,泪痣"
v-shaped_eyebrows,0,
sleeves_past_wrists,0,"萌え袖,萌袖"
wrist_cuffs,0,"腕带袖口,护腕"
fox_ears,0,"狐耳,きつね耳,キツネ耳,きつねみみ"
wet,0,"濡れ,濡れる,びしょ濡れ,びしょびしょ"
cat_tail,0,"ねこしっぽ,猫しっぽ,猫尻尾"
fur_trim,0,
feet_out_of_frame,0,小全景镜头
sleeveless_dress,0,ノースリーブワンピース
covered_navel,0,透けへそ
black_panties,0,"黒パン,黒パンツ"
short_shorts,0,"ショートパンツ,ホットパンツ,超短パン,短パン,热裤"
bare_arms,0,
sleeveless_shirt,0,
pillow,0,"枕,枕头,まくら,マクラ"
v,0,"ピース,ピースサイン,Vサイン,ブイサイン,ハメピス,フェラピス"
hand_on_own_hip,0,"腰に手,单手叉腰"
upper_teeth_only,0,
tree,0,"木,樹,樹木,木本,じゅもく,き"
detached_collar,0,付け襟
bare_legs,0,生足
black_bow,0,
maid_headdress,0,"ホワイトブリム,女仆头饰"
one-piece_swimsuit,0,ワンピース水着
maid,0,"メイド,メイドさん,メイド少年,女仆,메이드,メイド服,妹抖"
azur_lane,3,"碧蓝航线,碧藍航線,アズールレーン,AzurLane,舰B,艦B,アズレン,벽람항로,アズールレーン陣営,アズールレーン版深夜の真剣お絵かき60分一本勝負,パイズールレーン,KAN-SEN,アズレン漫画"
pubic_hair,0,"陰毛,阴毛,음모,生えかけ,ロリ陰毛,パイパン差分希望,ヘアヌード,アンダーヘア"
torn_clothes,0,"服ビリ,尻破れ"
head_tilt,0,"首傾げ,歪头"
blurry_background,0,虚化背景
black_ribbon,0,
gradient_hair,0,"グラデ髪,グラデヘアー,渐变色头发"
gradient_background,0,渐变色背景
pov,0,"ハメ撮り視点,POV,主観視点,一人称視点,自分視点,第一人称视角"
shiny_skin,0,
gun,0,銃
lips,0,唇
uncensored,0,"無修正,uncensored"
skindentation,0,ももぷく
sash,0,"サッシュ,현장,飾帶,饰带,条带"
horse_ears,0,馬耳
black_bikini,0,"黒ビキニ,たくし上げ黒ビキニ"
sideboob,0,"横乳,よこちち,옆가슴"
tattoo,0,"タトゥー,刺青"
neck_ribbon,0,"リボンタイ,りぼんたい,ネックリボン,ねっくりぼん,紐タイ"
highleg,0,ハイレグ
cosplay,0,コスプレ
plaid_clothes,0,
black_shorts,0,
window,0,"窓,窓辺,窗户"
umamusume,3,"ウマ娘,ウマ娘プリティーダービー,赛马娘,賽馬娘,马娘,馬娘,우마무스메,말딸,Umamusume,フォロワーさんからイメージもらって自分をウマ娘化する,ウマ娘ガンダムダービー,北斗の拳ニンジン味,ウマ娘モータリゼーション,闪耀优俊少女,闪耀!优俊少女,优骏少女,グラップラー馬姫,ウマ娘百合ティーダービー"
horse_girl,0,"馬娘,ウマ娘"
buttons,0,"釦,鈕扣,纽扣,扣子,단추,鈕"
hair_intakes,0,"インテーク,进气口发型,排气孔"
ascot,0,"ジャボ,多褶领巾"
single_braid,0,
sparkle,0,"kirakiradeshita,闪闪发光,キラキラ"
sketch,0,
floating_hair,0,
zettai_ryouiki,0,"絶対領域,絕對領域,绝对领域,절대영역"
leaning_forward,0,"前屈み,前かがみ"
anus,0,"肛門,アヌス,尻の穴,縦割れアナル,尻穴"
vocaloid,3,"ボーカロイド,ボカロ,VOCALOID,博歌樂,术力口,術力口"
on_bed,0,ベッドの上
double_bun,0,"お団子頭,お団子"
idolmaster_cinderella_girls,3,"アイドルマスターシンデレラガールズ,シンデレラガールズ,デレマス,モバマス,imas_cg"
kneehighs,0,"ハイソックス,ハイソ,黒ハイソックス,黒ハイソ,黒ハイ,白ハイソックス,白ハイソ,白ハイ,紺ハイソックス,紺ハイソ,紺ハイ"
blue_bow,0,
bell,0,ベル
dutch_angle,0,"ダッチアングル,倾斜角度"
book,0,本
swept_bangs,0,
petals,0,"花びら,花吹雪,桜吹雪,花瓣"
border,0,边框
blue_dress,0,"青ドレス,青いワンピース,青いワンピ"
kneeling,0,"跪く,膝立ち,跪,跪着,下跪"
saliva,0,"涎,唾液,口水"
black_pants,0,
open_shirt,0,
playboy_bunny,0,"バニーガール,バニースーツ,バニー,兔女郎,바니걸,メカバニー,bunnysuit"
dress_shirt,0,"Yシャツ,ワイシャツ,裸Yシャツ,正装衬衫,西装衬衫,衬衫"
pussy_juice,0,"爱液,愛液,マン汁"
soles,0,"足裏,裸足裏,ソックス足裏,足の裏"
colored_skin,0,異色肌
hoodie,0,"パーカー,连帽衫"
red_skirt,0,赤いスカート
bodysuit,0,"ボディスーツ,ぴっちりスーツ,ボディースーツ,艦ラバー,ラバースーツ,全身タイツ,ピッチリスーツ,连体紧身衣,紧身衣"
nose_blush,0,赤面
makeup,0,"化粧,化妆,メイク"
halterneck,0,"ホルターネック,ホルタートップ,ホルタービキニ,颈挂式"
black_hat,0,
white_socks,0,"白ソックス,白ハイソックス,白ハイソ,白靴下"
honkai_(series),3,"Honkai,崩坏,崩壊,逆熵,崩壞,붕괴"
shadow,0,"影,影子"
low_twintails,0,"おさげ,二つ結び,下双马尾,低双马尾,로우테일"
fox_tail,0,
mask,0,"マスク,仮面,覆面,衛生マスク,サージカルマスク,防塵マスク,ガスマスク,面具,カラスマスク"
white_jacket,0,
white_bikini,0,白ビキニ
capelet,0,披肩
heterochromia,0,"オッドアイ,ヘテロクロミア,异瞳,虹彩異色症,异色瞳,虹膜异色症"
no_bra,0,"ノーブラ,つけてない"
underboob,0,"下乳,南半球,下パイ,おっぱいスカート,underboobs"
alternate_hairstyle,0,"髪型チェンジ,非常态发型"
profile,0,"横顔,侧脸,侧面"
one_side_up,0,"ワンサイドアップ,サイドアップ,ハーフアップ"
turtleneck,0,"タートルネック,ハイネック,高领毛衣"
depth_of_field,0,"被写界深度,피사계심도,虚化背景,虚化前景"
piercing,0,"ピアス,ボディピアス"
side-tie_bikini_bottom,0,紐ビキニ
night,0,"夜,夜景,よる"
aqua_hair,0,
cameltoe,0,"いいスジしてる,メコスジ,すじ,スジ,骆驼趾,도끼자국,キャメルトゥ,まんすじ"
cum_in_pussy,0,"中出し,膣出し,中出,膣内射精,膣內射精,질내사정,體內射精,体内射精,체내사정,內射,内射"
expressionless,0,"無表情,平然,无表情"
bed_sheet,0,"シーツ,ベッドシーツ"
blue_background,0,BB
bed,0,ベッド
:3,0,"猫口,ω"
black_hairband,0,
no_shoes,0,"ソックス足裏,生靴下"
holding_sword,0,
ass_visible_through_thighs,0,前から見えるお尻
ocean,0,海
hug,0,"ハグ,拥抱"
chinese_clothes,0,"中国风,チャイナ服,中華風,中国風"
embarrassed,0,"恥じらい,恥,恥ずかしい,はずかしい,羞恥,赤面"
pokemon_(creature),0,"ポケモン×ポケモン,ポケモン×人間,pokemon"
erection,0,"勃起,剥けチン"
bottomless,0,"穿いてない,ボトムレス,下脱ぎ,フルチン"
arm_support,0,
no_panties,0,"はいてない,ノーパン"
from_above,0,ハイアングル
blood,0,血
watermark,0,透かし
beret,0,"ベレー,贝雷帽"
cat_girl,0,"キャットガール,猫系女子,猫耳娘,貓人,猫人,貓娘,猫娘"
wavy_hair,0,"ウェーブヘア,ウェービーヘア"
muscular,0,"筋肉,筋肉質,玉つき筋肉ショタ"
cum_on_body,0,
thick_thighs,0,"ぶっともも,thickthighs"
frown,0,"しかめっ面,・''・,皱眉"
back,0,"背中,魅惑の背中,ぱっくり背中,せなか"
heart-shaped_pupils,0,"目がハート,目にハート,ハート目,心形瞳孔"
copyright_name,0,タイトル回収
black_socks,0,"黒ハイソックス,黒ソックス,黒生,黒靴下"
short_dress,0,
brown_footwear,0,
beach,0,"砂浜,ビーチ,すなはま,浜辺"
white_footwear,0,
half-closed_eyes,0,"半眼,半目,眯眼,眯着眼睛,半闭着眼,はんめ"
female_pubic_hair,0,マン毛
phone,0,"電話,电话"
chain,0,"鎖,くさり,チェーン,チェイン,链条"
red_dress,0,"赤いワンピース,赤いワンピ,赤ワンピ,赤いドレス,赤ドレス"
fangs,0,"八重歯,虎牙"
white_skirt,0,
siblings,0,
on_side,0,"横臥,松葉崩し,侧躺"
rose,0,"荊棘,薔薇,蔷薇,ばら,玫瑰,バラ,장미,roses"
frilled_dress,0,
looking_down,0,下を見る
